Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg,expected_combine_year,combine_player_name,combine_year,wingspan_inches,combine_year_gap,wingspan_minus_height
Ricky Rubio,PG,74.0,2012,MIN,1404.0,6.7,1.6,11.9,0.1988696692513492,-0.467766714074104,0.6111902590263617,16.29374122930115,0,2011,,,,,
Rob Dillingham,PG,74.0,2025,MIN,516.0,5.4,2.6,8.0,-0.6750059770174619,-0.2886713860654554,-0.7413914989620205,13.915610633619826,0,2024,,,,,
Rodney McGruder,SG,76.0,2017,MIA,1966.0,7.2,5.2,9.2,0.157492599944604,1.5498893986280815,-0.2472102542424831,17.65158764680296,1,2016,,,,,
Rodney Stuckey,PG,77.0,2008,DET,1081.0,7.1,3.5,10.8,0.4035739823402221,0.4822879222914271,0.2326129695989147,15.17102137767221,0,2007,Rodney Stuckey,2007.0,79.25,0.0,2.25
Roko UkiÄ,PG,77.0,2009,TOR,890.0,4.9,3.6,6.3,-0.642365213919732,0.6441779532375772,-1.198830065094541,12.992752276528526,0,2008,,,,,
Ron Baker,SG,76.0,2017,NYK,857.0,6.2,1.5,10.8,-0.0891332388250486,-0.3472092654167509,-0.0157844857649363,15.064449541284404,1,2016,Ron Baker,2016.0,81.75,0.0,5.75
Russell Westbrook,PG,76.0,2009,OKC,2668.0,8.6,7.6,9.7,1.2656150616120958,2.9180354678989375,-0.0450512030318592,12.34621598639456,0,2008,Russell Westbrook,2008.0,79.75,0.0,3.75
Saben Lee,PG,74.0,2021,DET,781.0,6.9,2.8,11.1,-0.0233015954799407,0.1544715640412247,-0.0804115994827339,18.314895057549084,0,2020,,,,,
Salim Stoudamire,SG,73.0,2006,ATL,1236.0,5.6,1.1,10.4,-0.3562121615345829,-0.7256298655492701,0.0884938708354736,13.033358807795189,1,2005,,,,,
Scoot Henderson,PG,75.0,2024,POR,1765.0,6.2,3.2,9.5,-0.3079328026114355,-0.0398236471254178,-0.3381302980664583,12.36535694521306,0,2023,,,,,
Semaj Christon,PG,75.0,2017,OKC,973.0,4.9,2.2,7.8,-0.4097468292255971,0.011701292645785,-0.4497078016603363,12.414175578214373,0,2016,Semaj Christon,2014.0,78.5,2.0,3.5
Sergio RodrÃ­guez,PG,75.0,2007,POR,862.0,6.6,2.8,10.4,0.2314325270239014,0.0043746524262136,0.2873615881386366,17.76501937984496,0,2006,,,,,
Shaedon Sharpe,SG,77.0,2023,POR,1779.0,7.6,4.0,11.3,0.1299455116482839,0.521025947871834,-0.065855220354558,10.508616187989556,1,2022,Shaedon Sharpe,2022.0,83.5,0.0,6.5
Shelvin Mack,PG,75.0,2012,WAS,779.0,6.7,1.7,11.7,0.1988696692513492,-0.4207506087972281,0.5478878874369613,13.96918342224046,0,2011,Shelvin Mack,2011.0,79.5,0.0,4.5
Sindarius Thornwell,SG,76.0,2018,LAC,1156.0,6.7,3.2,10.0,0.0160720948169738,0.2963030790333189,-0.1572336827643074,21.80387409200969,1,2017,Sindarius Thornwell,2017.0,82.0,0.0,6.0
Sion James,SG,77.0,2026,CHO,1843.0,8.8,3.1,14.3,0.5823140354058834,-0.0114414095541533,0.6137070918750485,14.277484834344378,1,2025,Sion James,2025.0,78.5,0.0,1.5
Stephen Curry,PG,74.0,2010,GSW,2896.0,6.8,1.8,12.0,0.2633339732152557,-0.3591193544571531,0.5619380596401646,10.649644429393838,0,2009,Stephen Curry,2009.0,75.5,0.0,1.5
Sterling Brown,SG,77.0,2018,MIL,776.0,10.8,4.1,17.5,1.2181673804913675,0.6364238591609717,1.1559555101340429,15.708209902666102,1,2017,,,,,
T.J. McConnell,PG,73.0,2016,PHI,1606.0,8.5,2.8,14.5,0.9882593393088048,0.4688889986142416,1.0302578234046331,12.181096502108655,0,2015,TJ McConnell,2015.0,74.0,0.0,1.0
Terence Davis,SG,76.0,2020,TOR,1209.0,10.3,4.5,16.0,1.5184373911328974,1.5039116875106695,1.1996151401859128,13.106675938803894,1,2019,Terence Davis,2019.0,80.75,0.0,4.75
ThÃ©o Maledon,PG,76.0,2021,OKC,1778.0,6.2,1.4,11.0,-0.307525248130481,-0.545547514828575,-0.1052257834164301,11.09171974522293,0,2020,Theo Maledon,2020.0,80.75,0.0,4.75
Tim Hardaway Jr.,SG,77.0,2014,NYK,1875.0,3.8,1.2,6.6,-0.6261933048189479,-0.2162956708799695,-0.8755025289037348,14.590439276485789,1,2013,Tim Hardaway Jr.,2013.0,79.0,0.0,2.0
Toney Douglas,PG,74.0,2010,NYK,1087.0,5.6,4.1,7.2,-0.2839039077479141,0.9604184503293272,-0.7962494939790898,14.784733410049869,0,2009,Toney Douglas,2009.0,78.0,0.0,4.0
Trae Young,PG,74.0,2019,ATL,2503.0,6.3,2.6,10.2,-0.0459956921054593,0.1831477062084136,-0.0772955938011325,16.44479348458406,0,2018,Trae Young,2018.0,75.0,0.0,1.0
Tre Johnson,SG,77.0,2026,WAS,1443.0,6.3,2.1,10.7,-0.2455386290864393,-0.4732332409567309,-0.0483061038327408,12.19720744680851,1,2025,Tre Johnson,2025.0,82.25,0.0,5.25
Tre Mann,PG,76.0,2022,OKC,1367.0,6.4,1.9,11.2,-0.1023093290473607,-0.2621699043346869,0.0581579776247862,12.26395312005068,0,2021,Tre Mann,2021.0,76.0,0.0,0.0
Tyler Dorsey,SG,76.0,2018,ATL,974.0,7.4,1.9,12.9,0.2213078752979679,-0.1949824922621799,0.350532805156388,17.27078449053201,1,2017,Tyler Dorsey,2017.0,77.25,0.0,1.25
Tyler Herro,SG,77.0,2020,MIA,1508.0,8.3,1.2,14.9,0.6929682452683951,-0.7155256848653246,0.935888185741044,15.635996771589992,1,2019,Tyler Herro,2019.0,75.25,0.0,-1.75
Tyler Johnson,SG,75.0,2015,MIA,603.0,8.1,2.9,13.1,0.921598665851555,0.242292224401543,0.8995822618204335,17.67190511489993,1,2014,,,,,
Tyrese Haliburton,PG,77.0,2021,SAC,1746.0,5.5,2.4,8.6,-0.5917489007810213,-0.0455338870644322,-0.7007661978251398,12.723429454170956,0,2020,,,,,
Tyrese Maxey,SG,74.0,2021,PHI,935.0,6.1,1.3,10.8,-0.3481286270805583,-0.5955488776049892,-0.1548541512838224,14.614920811336484,1,2020,,,,,
Tyrese Proctor,PG,76.0,2026,CLE,545.0,6.5,2.2,10.7,-0.1793104159270534,-0.4270540578164731,-0.0483061038327408,16.218703033676594,0,2025,Tyrese Proctor,2025.0,79.25,0.0,3.25
